Date;Tm
01/01/2016;3,4
02/01/2016;3,5
03/01/2016;3,6
04/01/2016;3,3
05/01/2016;3,4
06/01/2016;3,3
07/01/2016;3,1
08/01/2016;2,9
09/01/2016;3,2
10/01/2016;3,2
11/01/2016;2,8
12/01/2016;2,6
13/01/2016;2,8
14/01/2016;3,1
15/01/2016;3,1
16/01/2016;3,3
17/01/2016;3,2
18/01/2016;3,2
19/01/2016;3,4
20/01/2016;3,5
21/01/2016;3,5
22/01/2016;3,5
23/01/2016;3,5
24/01/2016;3,2
25/01/2016;3,4
26/01/2016;3,5
27/01/2016;3,7
28/01/2016;3,7
29/01/2016;3,9
30/01/2016;3,8
31/01/2016;3,6
01/02/2016;3,7
02/02/2016;3,7
03/02/2016;3,8
04/02/2016;3,9
05/02/2016;4,1
06/02/2016;4,1
07/02/2016;4,2
08/02/2016;4,5
09/02/2016;4,4
10/02/2016;4,4
11/02/2016;4,2
12/02/2016;4,1
13/02/2016;4
14/02/2016;4
15/02/2016;4,4
16/02/2016;4,5
17/02/2016;4,8
18/02/2016;4,6
19/02/2016;4,6
20/02/2016;4,6
21/02/2016;4,7
22/02/2016;5
23/02/2016;5,1
24/02/2016;5,2
25/02/2016;5,7
26/02/2016;5,7
27/02/2016;5,7
28/02/2016;5,7
29/02/2016;5,9
01/03/2016;5,8
02/03/2016;5,9
03/03/2016;5,9
04/03/2016;6
05/03/2016;6,1
06/03/2016;6,5
07/03/2016;6,4
08/03/2016;6,5
09/03/2016;6,5
10/03/2016;6,6
11/03/2016;6,8
12/03/2016;6,9
13/03/2016;6,9
14/03/2016;7,2
15/03/2016;7,3
16/03/2016;7,8
17/03/2016;7,8
18/03/2016;8
19/03/2016;7,8
20/03/2016;7,9
21/03/2016;7,9
22/03/2016;8
23/03/2016;8,1
24/03/2016;8,4
25/03/2016;8,6
26/03/2016;8,6
27/03/2016;8,6
28/03/2016;8,7
29/03/2016;8,9
30/03/2016;9,1
31/03/2016;9,4
01/04/2016;9,7
02/04/2016;9,7
03/04/2016;9,6
04/04/2016;9,4
05/04/2016;9,4
06/04/2016;9,7
07/04/2016;9,8
08/04/2016;9,8
09/04/2016;9,8
10/04/2016;10
11/04/2016;10,1
12/04/2016;10,1
13/04/2016;10,2
14/04/2016;10,4
15/04/2016;10,7
16/04/2016;10,9
17/04/2016;10,9
18/04/2016;10,7
19/04/2016;11
20/04/2016;11,2
21/04/2016;11,4
22/04/2016;11,8
23/04/2016;11,8
24/04/2016;11,6
25/04/2016;11,5
26/04/2016;11,8
27/04/2016;11,7
28/04/2016;11,8
29/04/2016;11,9
30/04/2016;12,2
01/05/2016;12,4
02/05/2016;12,7
03/05/2016;12,7
04/05/2016;12,7
05/05/2016;12,8
06/05/2016;13,2
07/05/2016;13,5
08/05/2016;13,4
09/05/2016;13,8
10/05/2016;13,8
11/05/2016;14
12/05/2016;14,3
13/05/2016;14,4
14/05/2016;14,4
15/05/2016;14,2
16/05/2016;14,3
17/05/2016;14,5
18/05/2016;14,6
19/05/2016;14,5
20/05/2016;14,6
21/05/2016;14,8
22/05/2016;15,1
23/05/2016;15,5
24/05/2016;15,6
25/05/2016;15,9
26/05/2016;15,9
27/05/2016;16
28/05/2016;15,8
29/05/2016;15,9
30/05/2016;16,1
31/05/2016;16,2
01/06/2016;16,6
02/06/2016;16,6
03/06/2016;16,9
04/06/2016;17
05/06/2016;17
06/06/2016;17,3
07/06/2016;17
08/06/2016;17
09/06/2016;17,2
10/06/2016;17,1
11/06/2016;16,9
12/06/2016;17,1
13/06/2016;17
14/06/2016;17,2
15/06/2016;17,3
16/06/2016;17,4
17/06/2016;17,5
18/06/2016;17,7
19/06/2016;17,7
20/06/2016;17,8
21/06/2016;17,9
22/06/2016;18
23/06/2016;18
24/06/2016;18,1
25/06/2016;18,3
26/06/2016;18,5
27/06/2016;18,5
28/06/2016;18,7
29/06/2016;18,7
30/06/2016;18,6
01/07/2016;18,6
02/07/2016;18,9
03/07/2016;19
04/07/2016;19
05/07/2016;19,2
06/07/2016;19,2
07/07/2016;19,1
08/07/2016;19,1
09/07/2016;19,2
10/07/2016;19
11/07/2016;19,3
12/07/2016;19,5
13/07/2016;19,5
14/07/2016;19,5
15/07/2016;19,5
16/07/2016;19,4
17/07/2016;19,4
18/07/2016;19,5
19/07/2016;19,5
20/07/2016;19,3
21/07/2016;19,6
22/07/2016;19,6
23/07/2016;19,6
24/07/2016;19,5
25/07/2016;19,5
26/07/2016;19,5
27/07/2016;19,6
28/07/2016;19,7
29/07/2016;19,6
30/07/2016;19,6
31/07/2016;19,6
01/08/2016;19,7
02/08/2016;19,6
03/08/2016;19,6
04/08/2016;19,7
05/08/2016;19,8
06/08/2016;19,5
07/08/2016;19,4
08/08/2016;19,3
09/08/2016;19,5
10/08/2016;19,6
11/08/2016;19,5
12/08/2016;19,4
13/08/2016;19,4
14/08/2016;19,4
15/08/2016;19,4
16/08/2016;19,3
17/08/2016;19,2
18/08/2016;19,4
19/08/2016;19,3
20/08/2016;18,9
21/08/2016;18,8
22/08/2016;18,7
23/08/2016;18,5
24/08/2016;18,4
25/08/2016;18,4
26/08/2016;18,5
27/08/2016;18,4
28/08/2016;18,4
29/08/2016;18,2
30/08/2016;18
31/08/2016;17,8
01/09/2016;17,7
02/09/2016;17,8
03/09/2016;17,7
04/09/2016;17,5
05/09/2016;17,5
06/09/2016;17,4
07/09/2016;17,4
08/09/2016;17,4
09/09/2016;17,2
10/09/2016;16,9
11/09/2016;16,8
12/09/2016;16,7
13/09/2016;16,3
14/09/2016;16,2
15/09/2016;16,2
16/09/2016;16
17/09/2016;16
18/09/2016;15,9
19/09/2016;15,7
20/09/2016;15,6
21/09/2016;15,4
22/09/2016;15,2
23/09/2016;15,1
24/09/2016;15,1
25/09/2016;14,9
26/09/2016;14,9
27/09/2016;14,9
28/09/2016;14,7
29/09/2016;14,5
30/09/2016;14,2
01/10/2016;14,2
02/10/2016;13,9
03/10/2016;13,7
04/10/2016;13,5
05/10/2016;13,5
06/10/2016;13,4
07/10/2016;13,3
08/10/2016;13,1
09/10/2016;13,1
10/10/2016;13
11/10/2016;12,6
12/10/2016;12,5
13/10/2016;12,1
14/10/2016;12
15/10/2016;11,8
16/10/2016;11,6
17/10/2016;11,4
18/10/2016;11,2
19/10/2016;11,1
20/10/2016;11,1
21/10/2016;10,8
22/10/2016;10,6
23/10/2016;10,7
24/10/2016;10,3
25/10/2016;10
26/10/2016;9,9
27/10/2016;9,9
28/10/2016;9,6
29/10/2016;9,2
30/10/2016;9,2
31/10/2016;9,4
01/11/2016;9,2
02/11/2016;9
03/11/2016;9,1
04/11/2016;8,9
05/11/2016;8,6
06/11/2016;8,4
07/11/2016;8,1
08/11/2016;8
09/11/2016;7,6
10/11/2016;7,4
11/11/2016;7,4
12/11/2016;7,5
13/11/2016;7,4
14/11/2016;7,1
15/11/2016;6,8
16/11/2016;6,9
17/11/2016;6,6
18/11/2016;6,7
19/11/2016;6,8
20/11/2016;6,5
21/11/2016;6,2
22/11/2016;6,2
23/11/2016;5,9
24/11/2016;5,8
25/11/2016;6
26/11/2016;5,7
27/11/2016;5,6
28/11/2016;5,6
29/11/2016;5,5
30/11/2016;5,3
01/12/2016;5,1
02/12/2016;4,9
03/12/2016;4,9
04/12/2016;5,1
05/12/2016;5
06/12/2016;5
07/12/2016;4,5
08/12/2016;4,5
09/12/2016;4,4
10/12/2016;4,2
11/12/2016;4,1
12/12/2016;4,1
13/12/2016;4,3
14/12/2016;4,3
15/12/2016;4,2
16/12/2016;4,1
17/12/2016;4,1
18/12/2016;3,8
19/12/2016;3,6
20/12/2016;3,8
21/12/2016;3,4
22/12/2016;3,4
23/12/2016;3,7
24/12/2016;3,5
25/12/2016;3,5
26/12/2016;3,4
27/12/2016;3,7
28/12/2016;3,6
29/12/2016;3,4
30/12/2016;3,5
31/12/2016;3,4
