,Departement,Total_donors,Active_donors,Active_ratio,Total_amount,Avg_amount,ActTypeFreq.AS,ActTypeFreq.DI,ActTypeFreq.DO,ActTypeFreq.ME,ActTypeFreq.PA,ActTypeFreq.QU,ActTypeTotAmt.AS,ActTypeTotAmt.DI,ActTypeTotAmt.DO,ActTypeTotAmt.ME,ActTypeTotAmt.PA,ActTypeTotAmt.QU,ActTypeAvgAmt.AS,ActTypeAvgAmt.DI,ActTypeAvgAmt.DO,ActTypeAvgAmt.ME,ActTypeAvgAmt.PA,ActTypeAvgAmt.QU,ChannelFreq.AU,ChannelFreq.EV,ChannelFreq.MD,ChannelFreq.TE,ChannelFreq.WW,ChannelTotAmt.AU,ChannelTotAmt.EV,ChannelTotAmt.MD,ChannelTotAmt.TE,ChannelTotAmt.WW,ChannelAvgAmt.AU,ChannelAvgAmt.EV,ChannelAvgAmt.MD,ChannelAvgAmt.TE,ChannelAvgAmt.WW
1,AIN,516,484,0.937984496,6279979.86,12170.5036,12,2,652,1,886,53,1092,335,3878720,2385000,10520,4312.860001,91,167.5,5948.957055,2385000,11.87358916,81.37471699,116,1,873,525,91,2392614.86,500,3869307,8343,9215,20625.99017,500,4432.195876,15.89142857,101.2637363
2,AISNE,1783,1641,0.920358946,260135.52,145.8976556,4,38,2996,0,3061,187,120,2160,198126.52,0,46057,13672,30,56.84210526,66.13034713,0,15.04639007,73.11229947,551,3,2945,2719,68,35160.9,1150,159877.62,57099,6848,63.81288566,383.3333333,54.28781664,21,100.7058824
3,ALLIER,605,524,0.866115702,291885.45,482.4552893,2,23,1027,0,1214,61,100,2434.220001,264747.73,0,19075,5528.5,50,105.8356522,257.7874684,0,15.71252059,90.63114754,195,2,1686,386,58,47411.45,10020,221807,8063,4584,243.135641,5010,131.5581257,20.88860104,79.03448276
4,ALPES-DE-HAUTE-PROVENCE,192,179,0.932291667,22245,115.859375,1,4,345,0,237,13,100,365,16813,0,3772,1195,100,91.25,48.73333333,0,15.91561181,91.92307692,78,0,409,98,15,3845,0,14171,3129,1100,49.29487179,0,34.64792176,31.92857143,73.33333333
5,ALPES-MARITIMES,1852,1694,0.914686825,268055.2,144.7382289,6,28,3145,0,2825,147,920,7915,191690.77,0,56817,10712.43,153.3333333,282.6785714,60.95096025,0,20.11221239,72.87367347,659,7,3995,1326,164,52836.1,1665,166988.1,28132,18434,80.17617602,237.8571429,41.79927409,21.21568627,112.402439
6,ARDECHE,264,254,0.962121212,23893.8,90.50681818,2,2,367,0,366,14,150,65,17563.3,0,5029,1086.5,75,32.5,47.85640327,0,13.74043716,77.60714286,135,1,444,148,23,3665,20,14467,3664,2077.8,27.14814815,20,32.58333333,24.75675676,90.33913043
7,ARDENNES,370,318,0.859459459,37796.99,102.154027,0,8,559,0,353,26,0,675,28216.99,0,7222,1683,0,84.375,50.47762075,0,20.45892351,64.73076923,137,1,519,271,18,7041.99,50,21530,7565,1610,51.40138686,50,41.48362235,27.91512915,89.44444444
8,ARIEGE,131,125,0.954198473,9570,73.05343511,0,0,201,0,110,7,0,0,7920,0,1160,490,0,0,39.40298507,0,10.54545455,70,14,0,142,131,31,695,0,5425,2145,1305,49.64285714,0,38.20422535,16.3740458,42.09677419
9,AUBE,1821,1606,0.881933004,328061.92,180.154816,1,93,3379,0,5002,222,2500,9147.989998,209464.77,0,84152,22797.15999,2500,98.36548385,61.99016573,0,16.82367053,102.6899099,844,1,5042,2738,72,68850.48999,30,197889.7,52201.73,9090,81.57640994,30,39.24825466,19.0656428,126.25
10,AUDE,345,325,0.942028986,34171.11,99.04669565,3,2,580,0,467,18,489,75,25240,0,6989,1378.11,163,37.5,43.51724138,0,14.96573876,76.56166665,45,0,697,316,12,3145.11,0,24229,6037,760,69.89133333,0,34.76183644,19.10443038,63.33333333
11,AVEYRON,331,303,0.915407855,39806.24,120.2605438,0,2,494,0,699,34,0,183,28784.24,0,7624,3215,0,91.5,58.26769231,0,10.90701001,94.55882353,123,0,765,323,18,5943.24,0,26222,5471,2170,48.31902439,0,34.27712418,16.9380805,120.5555556
12,BAS-RHIN,852,812,0.953051643,496630.83,582.9000352,0,2,1352,4,820,90,0,70,175485.17,301598.21,12425,7052.449997,0,35,129.7967234,75399.55249,15.15243902,78.36055552,319,2,1137,698,112,324698.88,100040,48171.95001,15095,8625,1017.864827,50020,42.36759016,21.6260745,77.00892857
13,BOUCHES-DU-RHONE,1874,1758,0.93810032,306485.56,163.54619,87,19,2773,1,2812,143,18946.29999,1210.24,183667.42,40000,47186,15475.60001,217.7735631,63.69684209,66.23419401,40000,16.7802276,108.2209791,753,11,3320,1483,268,95035.24999,21340,147072.31,28493,14545,126.2088313,1940,44.29888855,19.21308159,54.27238806
14,CALVADOS,960,895,0.932291667,159612.2,166.2627083,5,14,1340,0,1708,199,11945,1775,105711,0,26434,13747.2,2389,126.7857143,78.88880597,0,15.4765808,69.08140702,440,3,2034,720,69,40447.2,180,90644,14451,13890,91.92545454,60,44.56440511,20.07083333,201.3043478
